Station,Code,Lat,Lon,Street,Number,Postal Code,City,Country
Freiburg (Breisgau) Hbf,RF,47.99789,7.84134,Wentzingerstraße,28,79106,Freiburg im Breisgau,Germany
Gaanderen,GDR,51.93074,6.3486,Branderstraat,??,7011,Gaanderen,Netherlands
Geerdijk,GDK,52.47625,6.56674,Geerdijk,60-66,7681 SE,Vroomshoop,Netherlands
Geislingen,GEISL,48.61947742,9.841840267,Alte Weilersteige,??,73312,Geislingen an der Steige,Germany
Geldermalsen,GDM,51.88301,5.27127,Genteldijk,5,4191 LD,Geldermalsen,Netherlands
Geldrop,GP,51.41972351,5.550555706,Tournooiveld,14,5663 EA,Geldrop,Netherlands
Geleen Oost,GLN,50.96694565,5.843055725,Stationstraat,13,6166 CB,Geleen,Netherlands
Geleen-Lutterade,LUT,50.97555542,5.82472229,Westelijke Randweg,??,6162,Geleen,Netherlands
Gilze-Rijen,GZ,51.58361053,4.926111221,Parallelweg,10,5121 LD,Rijen,Netherlands
Glanerbrug,GBR,52.21861267,6.974444389,Vijverstraat,16,7532 AM,Enschede,Netherlands
Glons,LGL,50.750277,5.535278,La Vaux,1-9,4690,Bassenge,Belgium
Goes,GS,51.4980545,3.89055562,Stationspark,29A,4462 DZ,Goes,Netherlands
Goor,GO,52.23027802,6.584444523,Stationslaan,14-16,7471 AP,Goor,Netherlands
Gorinchem,GR,51.83388901,4.968333244,Stationsweg,17,4205 AA,Gorinchem,Netherlands
Gouda,GD,52.01750183,4.704444408,Stationsplein,8A,2801 AK,Gouda,Netherlands
Gouda Goverwelle,GDG,52.01499939,4.740833282,Willensplein,129,2807 PA,Gouda,Netherlands
Gramsbergen,GBG,52.60916519,6.675833225,De Oostermaat,46,7783 BX,Gramsbergen,Netherlands
Grijpskerk,GK,53.25574033,6.30977869,Stationsstraat,29-30,9843 AE,Grijpskerk,Netherlands
Gronau (Westf.),G,52.21521,7.022109,Bahnhofstraße,43,48599,Gronau (Westfalen),Germany
Groningen,GN,53.21055603,6.564722061,Stationsplein,26,9726 AE,Groningen,Netherlands
Groningen Europapark,GERP,53.20480027,6.5854178,Europapad,??,9722,Groningen,Netherlands
Groningen Noord,GNN,53.2301469,6.5563172,Kastanjelaan,??,9741,Groningen,Netherlands
Grou-Jirnsum,GW,53.08889008,5.822500229,A32,??,9001,Grou,Netherlands
Gulpen-Wijlre,WIJ,50.833056,5.898056,Parallelweg,7,6321,Wijlre,Netherlands
Göppingen,TGO,48.700191,9.651685,Bahnhofstraße,1,73033,Göppingen,Germany
Günzburg,MGZB,48.460226,10.278707,Bahnhofplatz,5,89312,Günzburg,Germany
Haarlem,HLM,52.38777924,4.638333321,Stationsplein,1-3,2011,Haarlem,Netherlands
Haarlem Spaarnwoude,HLMS,52.38277817,4.673055649,Camera Obscuraweg,??,??,Haarlem,Netherlands
Hagen Hbf,HAGEN,51.362747,7.460249,Am Hauptbahnhof,16Z,58089,Hagen,Germany
